"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"AP"	"deliverymethod"
"20174"	"Loxapac 10mg capsules (Wyeth Pharmaceuticals)"	"Loxapine"	"10mg"	"Capsule"	"Oral"	"00000000"	"Loxapine"	"Oral"
"20668"	"THIORIDAZINE 25mg/5ml"	"Thioridazine"	"25mg/5ml"	NA	NA	"00000000"	"Thioridazine"	"Indeterminate"
"20703"	"Moditen 5mg tablets (Sanofi-Synthelabo Ltd)"	"Fluphenazine"	"5mg"	"Tablet"	"Oral"	"00000000"	"Fluphenazine"	"Oral"
"21027"	"Triperidol 1mg Tablet (Lagap)"	"Trifluperidol"	"1mg"	"Tablet"	"Oral"	"04020100"	"Trifluperidol"	"Oral"
"21047"	"Triperidol 0.5mg Tablet (Lagap)"	"Trifluperidol"	"0.5mg"	"Tablet"	"Oral"	"04020100"	"Trifluperidol"	"Oral"
"21064"	"Neulactil 25mg Tablet (JHC Healthcare Ltd)"	"Pericyazine"	"25mg"	"Tablet"	"Oral"	"04020100"	"Pericyazine"	"Oral"
"21125"	"Droleptan 5mg/ml Injection (Janssen-Cilag Ltd)"	"Droperidol"	"5mg/ml"	"Injection"	"Intravenous Injection"	"04020100/15010401"	"Droperidol"	"Injection"
"21199"	"Denzapine 100mg tablets (Britannia Pharmaceuticals Ltd)"	"Clozapine"	"100mg"	"Tablet"	"Oral"	"04020102"	"Clozapine"	"Oral"
"21339"	"Veractil 25mg Tablet (Rhone-Poulenc Rorer Ltd)"	"Levomepromazine"	"25mg"	"Tablet"	"Oral"	"04020100"	"Levomepromazine"	"Oral"
"21675"	"THIOPROPERAZINE MESYLATE 25 MG TAB"	"Thioproperazine"	"25 MG"	"Tablet"	"Oral"	"00000000"	"Thioproperazine"	"Oral"
"21709"	"Seroquel 300mg tablets (AstraZeneca UK Ltd)"	"Quetiapine"	"300mg"	"Tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"21744"	"Anquil 250microgram Tablet (Concord Pharmaceuticals Ltd)"	"Benperidol"	"250microgram"	"Tablet"	"Oral"	"04020100"	"Benperidol"	"Oral"
"21964"	"Zyprexa 7.5mg tablets (Eli Lilly and Company Ltd)"	"Olanzapine"	"7.5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"22049"	"Clopixol 200mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Zuclopenthixol"	"200mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101"	"Zuclopenthixol"	"Injection"
"22174"	"MODECATE"	"Fluphenazine"	NA	NA	NA	"00000000"	"Fluphenazine"	"Indeterminate"
"22245"	"TRIFLUOPERAZINE 10mg/ml"	"Trifluoperazine"	"10mg/ml"	NA	NA	"00000000"	"Trifluoperazine"	"Indeterminate"
"22606"	"Chlorpromazine 25mg/1ml solution for injection ampoules"	"Chlorpromazine"	"25mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"04020101"	"Chlorpromazine"	"Injection"
"22609"	"Droperidol 5mg/ml injection"	"Droperidol"	"5mg/ml"	"Injection"	"Intramuscular"	"04020100/15010401"	"Droperidol"	"Injection"
"22655"	"PERICYAZINE 2.5 MG ELI"	"Pericyazine"	"2.5 MG"	"Oral solution"	"Oral"	"00000000"	"Pericyazine"	"Oral"
"22660"	"Haldol 5mg tablets (Janssen-Cilag Ltd)"	"Haloperidol"	"5mg"	"Tablet"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"22814"	"Trifluperidol 1mg Tablet"	"Trifluperidol"	"1mg"	"Tablet"	"Oral"	"04020100"	"Trifluperidol"	"Oral"
"23034"	"Remoxipride 75mg capsule"	"Remoxipride"	"75mg"	"Capsules"	"Oral"	"04020100"	"Remoxipride"	"Oral"
"23162"	"Serdolect 16mg tablets (Lundbeck Ltd)"	"Sertindole"	"16mg"	"Tablet"	"Oral"	"04020100"	"Sertindole"	"Oral"
"23201"	"MELLERIL 25mg/5ml"	"Thioridazine"	"25mg/5ml"	"Oral solution"	"Oral"	"00000000"	"Thioridazine"	"Oral"
"23340"	"MODECATE CONC"	"Fluphenazine"	NA	NA	NA	"00000000"	"Fluphenazine"	"Indeterminate"
"23431"	"Olanzapine 10mg powder for solution for injection vials"	"Olanzapine"	"10mg"	"Powder for solution for injection"	"Intramuscular"	"04020102/04020300"	"Olanzapine"	"Injection"
"23517"	"THIOPROPAZATE HCl 10 MG TAB"	"Thiopropazate"	"10 MG"	"Tablet"	"Oral"	"00000000"	"Thiopropazate"	"Oral"
"23659"	"Trifluperidol 0.5mg Tablet"	"Trifluperidol"	"0.5mg"	"Tablet"	"Oral"	"04020100"	"Trifluperidol"	"Oral"
"23678"	"Haldol 10mg tablets (Janssen-Cilag Ltd)"	"Haloperidol"	"10mg"	"Tablet"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"24053"	"Sulparex 200mg Tablet (E R Squibb and Sons Ltd)"	"Sulpiride"	"200mg"	"Tablet"	"Oral"	"04020100/04090300"	"Sulpiride"	"Oral"
"24069"	"Dolmatil 400mg tablets (Sanofi)"	"Sulpiride"	"400mg"	"Tablet"	"Oral"	"04020101"	"Sulpiride"	"Oral"
"24107"	"FLUPHENAZINE HCl ELI"	"Fluphenazine"	NA	NA	NA	"00000000"	"Fluphenazine"	"Indeterminate"
"24243"	"STEMETIL"	"Prochlorperazine"	NA	NA	NA	"00000000"	"Prochlorperazine"	"Indeterminate"
"24270"	"Zuclopenthixol acetate 50mg/1ml solution for injection ampoules"	"Zuclopenthixol"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101"	"Zuclopenthixol"	"Injection"
"24282"	"FENTAZIN 8 MG TAB"	"Perphenazine"	"8 MG"	"Tablet"	"Oral"	"00000000"	"Perphenazine"	"Oral"
"24358"	"Abilify 10mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Aripiprazole"	"10mg"	"Tablet"	"Oral"	"04020102"	"Aripiprazole"	"Oral"
"24457"	"Fentanyl with droperidol 500microgramwith2.5mg/ml Injection"	"Droperidol"	"500microgram+2.5mg/2.5ml"	"Injection"	"Intramuscular"	"15010401"	"Droperidol"	"Injection"
"24494"	"Haldol 10mg/ml Liquid (Janssen-Cilag Ltd)"	"Haloperidol"	"10mg/ml"	"Liquid"	"Oral"	"04020100/40120000"	"Haloperidol"	"Oral"
"25015"	"DEPIXOL-CONC (1ML AMP)"	"Flupentixol"	"1ML"	"Solution for injection"	"Intramuscular"	"00000000"	"Flupentixol"	"Injection"
"25063"	"HALOPERIDOL 100mg/ml"	"Haloperidol"	"100mg/ml"	NA	NA	"00000000"	"Haloperidol"	"Indeterminate"
"25336"	"Zotepine 50mg tablets"	"Zotepine"	"50mg"	"Tablet"	"Oral"	"04020100"	"Zotepine"	"Oral"
"25635"	"ZUCLOPENTHIXOL DIHYDROCHLORIDE"	"Zuclopenthixol"	NA	NA	NA	"00000000"	"Zuclopenthixol"	"Indeterminate"
"25653"	"Chloractil 50mg Tablet (DDSA Pharmaceuticals Ltd)"	"Chlorpromazine"	"50mg"	"Tablet"	"Oral"	"04020100/40120000"	"Chlorpromazine"	"Oral"
"25759"	"DROPERIDOL"	"Droperidol"	NA	NA	NA	"00000000"	"Droperidol"	"Indeterminate"
"25835"	"Moditen enanthate 25mg/ml Injection (Sanofi-Synthelabo Ltd)"	"Fluphenazine"	"25mg/ml"	"Injection"	"Intramuscular"	"04020200"	"Fluphenazine"	"Injection"
"25909"	"Perphenazine 4mg/5ml Oral solution sugar free"	"Perphenazine"	"4mg/5ml"	"Syrup Sugar-free"	"Oral"	"04020100/40120000"	"Perphenazine"	"Oral"
"25966"	"Serdolect 4mg tablets (Lundbeck Ltd)"	"Sertindole"	"4mg"	"Tablet"	"Oral"	"04020100"	"Sertindole"	"Oral"
"26082"	"THIORIDAZINE 25mg/5ml"	"Thioridazine"	"25mg/5ml"	NA	NA	"00000000"	"Thioridazine"	"Indeterminate"
"26526"	"FLUSPIRILENE 2.00mg/ml"	"Fluspirilene"	"2.00mg/ml"	NA	NA	"00000000"	"Fluspirilene"	"Indeterminate"
"26544"	"Solian 100 tablets (Sanofi)"	"Amisulpride"	"100mg"	"Tablet"	"Oral"	"04020102"	"Amisulpride"	"Oral"
"26660"	"PROMAZINE HYDROCHLORIDE"	"Promazine"	NA	NA	NA	"00000000"	"Promazine"	"Indeterminate"
"26661"	"MELLERIL 100mg/5ml"	"Thioridazine"	"100mg/5ml"	NA	NA	"00000000"	"Thioridazine"	"Indeterminate"
"26684"	"MODECATE DISPOSABLE SYRINGE"	"Fluphenazine"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Fluphenazine"	"Injection"
"26692"	"MODECATE DISPOSABLE SYRINGE"	"Fluphenazine"	NA	"Solution for injection"	"Intramuscular"	"00000000"	"Fluphenazine"	"Injection"
"26800"	"Loxapac 50mg capsules (Wyeth Pharmaceuticals)"	"Loxapine"	"50mg"	"Capsule"	"Oral"	"00000000"	"Loxapine"	"Oral"
"27148"	"Orap 10mg Tablet (Janssen-Cilag Ltd)"	"Pimozide"	"10mg"	"Tablet"	"Oral"	"04020100"	"Pimozide"	"Oral"
"27211"	"Integrin 40mg Tablet (Sanofi-Synthelabo Ltd)"	"Oxypertine"	"40mg"	"Tablet"	"Oral"	"04020100"	"Oxypertine"	"Oral"
"27565"	"FLUANXOL"	"Flupentixol"	NA	NA	NA	"00000000"	"Flupentixol"	"Indeterminate"
"27582"	"STELAZINE"	"Trifluoperazine"	NA	NA	NA	"00000000"	"Trifluoperazine"	"Indeterminate"
"28147"	"Taractan 15mg Tablet (Roche Products Ltd)"	"Chlorprothixene"	"15mg"	"Tablet"	"Oral"	"04020100"	"Chlorprothixene"	"Oral"
"28231"	"Levinan 6mg Tablet (Link Pharmaceuticals Ltd)"	"Levomepromazine"	"6mg"	"Tablet"	"Oral"	"04020100"	"Levomepromazine"	"Oral"
"28355"	"Zuclopenthixol decanoate 200mg/1ml solution for injection ampoules"	"Zuclopenthixol"	"200mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101"	"Zuclopenthixol"	"Injection"
"28679"	"Dozic 2mg/ml Oral solution (Rosemont Pharmaceuticals Ltd)"	"Haloperidol"	"2mg/ml"	"Oral Solution"	"Oral"	"04020100/40120000"	"Haloperidol"	"Oral"
"28759"	"Zotepine 100mg tablets"	"Zotepine"	"100mg"	"Tablet"	"Oral"	"04020100"	"Zotepine"	"Oral"
"28862"	"Chloractil 100mg Tablet (DDSA Pharmaceuticals Ltd)"	"Chlorpromazine"	"100mg"	"Tablet"	"Oral"	"04020100/40120000"	"Chlorpromazine"	"Oral"
"28965"	"TRIFLUOPERAZINE HCL/ISOPROP.IODIDE FORTE TAB"	"Trifluoperazine"	NA	"Tablet"	"Oral"	"00000000"	"Trifluoperazine"	"Oral"
"28968"	"Serenace 20mg/2ml solution for injection ampoules (IVAX Pharmaceuticals UK Ltd)"	"Haloperidol"	"10mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"00000000"	"Haloperidol"	"Injection"
"28979"	"THIORIDAZINE  100mg/5ml"	"Thioridazine"	"100mg/5ml"	NA	NA	"00000000"	"Thioridazine"	"Indeterminate"
"29445"	"THIOPROPERAZINE MESYLATE 10 MG TAB"	"Thioproperazine"	"10 MG"	"Tablet"	"Oral"	"00000000"	"Thioproperazine"	"Oral"
"29540"	"Olanzapine 20mg tablets"	"Olanzapine"	"20mg"	"Tablet"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"29838"	"STELAZINE CONCENTRATE 10mg/ml"	"Trifluoperazine"	"10mg/ml"	"Solution for injection"	"Intramuscular"	"00000000"	"Trifluoperazine"	"Injection"
"29879"	"Abilify 30mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Aripiprazole"	"30mg"	"Tablet"	"Oral"	"04020102"	"Aripiprazole"	"Oral"
"29948"	"Stelazine Forte 1mg/ml oral solution (Mercury Pharma Group Ltd)"	"Trifluoperazine"	"1mg/1ml"	"Oral solution"	"Oral"	"04020101/04065400"	"Trifluoperazine"	"Oral"
"29967"	"NEULACTIL FORTE"	"Pericyazine"	NA	NA	NA	"00000000"	"Pericyazine"	"Indeterminate"
"29972"	"PERICYAZINE"	"Pericyazine"	NA	NA	NA	"00000000"	"Pericyazine"	"Indeterminate"
"30088"	"Zoleptil 25 tablets (Movianto UK Ltd)"	"Zotepine"	"25mg"	"Tablet"	"Oral"	"04020100"	"Zotepine"	"Oral"
"30111"	"Chlorprothixene 50mg tablets"	"Chlorprothixene"	"50mg"	"Tablets"	"Oral"	"04020100"	"Chlorprothixene"	"Oral"
"30346"	"CHLORPROMAZINE HCl 100 MG TAB"	"Chlorpromazine"	"100 MG"	"Tablet"	"Oral"	"00000000"	"Chlorpromazine"	"Oral"
"30351"	"HALDOL 1.5 MG TAB"	"Haloperidol"	"1.5 MG"	"Tablet"	"Oral"	"00000000"	"Haloperidol"	"Oral"
"30487"	"Denzapine 25mg tablets (Britannia Pharmaceuticals Ltd)"	"Clozapine"	"25mg"	"Tablet"	"Oral"	"04020102"	"Clozapine"	"Oral"
"31063"	"Serdolect 12mg tablets (Lundbeck Ltd)"	"Sertindole"	"12mg"	"Tablet"	"Oral"	"04020100"	"Sertindole"	"Oral"
"31098"	"Aripiprazole 15mg orodispersible tablets sugar free"	"Aripiprazole"	"15mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Aripiprazole"	"Oral"
"31159"	"DARTALAN 5 MG TAB"	"Thiopropazate"	"5 MG"	"Tablet"	"Oral"	"00000000"	"Thiopropazate"	"Oral"
"31171"	"Chlorpromazine 50mg tablets (A A H Pharmaceuticals Ltd)"	"Chlorpromazine"	"50mg"	"Tablet"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"31172"	"Chlorpromazine 50mg tablets (Teva UK Ltd)"	"Chlorpromazine"	"50mg"	"Tablet"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"31175"	"Chlorpromazine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Chlorpromazine"	"25mg"	"Tablet"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"31184"	"Chlorpromazine 25mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Chlorpromazine"	"25mg"	"Tablet"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"31537"	"Zuclopenthixol acetate 100mg/2ml solution for injection ampoules"	"Zuclopenthixol"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101"	"Zuclopenthixol"	"Injection"
"31538"	"Clopixol Acuphase 100mg/2ml solution for injection ampoules (Lundbeck Ltd)"	"Zuclopenthixol"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101"	"Zuclopenthixol"	"Injection"
"31576"	"Solian 100mg/ml oral solution (Sanofi)"	"Amisulpride"	"100mg/1ml"	"Oral solution"	"Oral"	"04020102"	"Amisulpride"	"Oral"
"31747"	"CHLORPROMAZINE HYDROCHLORIDE"	"Chlorpromazine"	NA	NA	NA	"00000000"	"Chlorpromazine"	"Indeterminate"
"31796"	"Benquil 250microgram tablets (Concord Pharmaceuticals Ltd)"	"Benperidol"	"250microgram"	"Tablet"	"Oral"	"04020101"	"Benperidol"	"Oral"
"32051"	"Haloperidol 5mg Tablet (Generics (UK) Ltd)"	"Haloperidol"	"5mg"	"Tablet"	"Oral"	"04020100/40120000"	"Haloperidol"	"Oral"
"32064"	"Prochlorperazine 5mg tablets (Actavis UK Ltd)"	"Prochlorperazine"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"Prochlorperazine"	"Oral"
"32076"	"Aripiprazole 10mg orodispersible tablets sugar free"	"Aripiprazole"	"10mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Aripiprazole"	"Oral"
"32122"	"Prochlorperazine 12.5mg/1ml solution for injection ampoules (AMCo)"	"Prochlorperazine"	"12.5mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101/04065400"	"Prochlorperazine"	"Injection"
"32551"	"Prochlorperazine 5mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Prochlorperazine"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"Prochlorperazine"	"Oral"
"32772"	"Prochlorperazine 5mg tablets (Mylan)"	"Prochlorperazine"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"Prochlorperazine"	"Oral"
"32838"	"Haloperidol 1.5mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Haloperidol"	"1.5mg"	"Tablet"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"32876"	"Prochlorperazine 5mg tablets (Teva UK Ltd)"	"Prochlorperazine"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"Prochlorperazine"	"Oral"
"33493"	"Sparine 100mg Tablet (Wyeth Pharmaceuticals)"	"Promazine"	"100mg"	"Tablet"	"Oral"	"04020100"	"Promazine"	"Oral"
"33780"	"Modecate 25mg/1ml solution for injection ampoules (Sanofi)"	"Fluphenazine"	"25mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Fluphenazine"	"Injection"
"33883"	"Zyprexa 20mg Velotabs (Eli Lilly and Company Ltd)"	"Olanzapine"	"20mg"	"Oral lyophilisate"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"34039"	"Haloperidol 1mg/ml Liquid (Rosemont Pharmaceuticals Ltd)"	"Haloperidol"	"1mg/ml"	"Liquid"	"Oral"	"04020100/40120000"	"Haloperidol"	"Oral"
"34272"	"Haloperidol 5mg/ml Injection (Antigen Pharmaceuticals)"	"Haloperidol"	"5mg/ml"	"Injection"	"Subcutaneous Infusion"	"04020100/40120000"	"Haloperidol"	"Injection"
"34339"	"Haloperidol 1.5mg tablets (A A H Pharmaceuticals Ltd)"	"Haloperidol"	"1.5mg"	"Tablet"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"34344"	"Prochlorperazine 5mg tablets (A A H Pharmaceuticals Ltd)"	"Prochlorperazine"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"Prochlorperazine"	"Oral"
"34630"	"Chlorpromazine 50mg tablets (Thornton & Ross Ltd)"	"Chlorpromazine"	"50mg"	"Tablet"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"34668"	"Chlorpromazine 25mg tablets (Teva UK Ltd)"	"Chlorpromazine"	"25mg"	"Tablet"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"34693"	"Chlorpromazine 25mg tablets (Thornton & Ross Ltd)"	"Chlorpromazine"	"25mg"	"Tablet"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"34736"	"Chlorpromazine 100mg tablets (Teva UK Ltd)"	"Chlorpromazine"	"100mg"	"Tablet"	"Oral"	"04020101"	"Chlorpromazine"	"Oral"
"34810"	"Sulpiride 200mg tablets (Wockhardt UK Ltd)"	"Sulpiride"	"200mg"	"Tablet"	"Oral"	"04020101"	"Sulpiride"	"Oral"
"34902"	"Thioridazine 50mg tablets (A A H Pharmaceuticals Ltd)"	"Thioridazine"	"50mg"	"Tablet"	"Oral"	"00000000"	"Thioridazine"	"Oral"
"34903"	"Haloperidol 5mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Haloperidol"	"5mg"	"Tablet"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"34905"	"Thioridazine 25mg Tablet (IVAX Pharmaceuticals UK Ltd)"	"Thioridazine"	"25mg"	"Tablet"	"Oral"	"04020100"	"Thioridazine"	"Oral"
"34927"	"Amisulpride 200mg tablets (Zentiva)"	"Amisulpride"	"200mg"	"Tablet"	"Oral"	"04020102"	"Amisulpride"	"Oral"
"35065"	"Fluphenazine decanoate 25mg/1ml solution for injection ampoules"	"Fluphenazine"	"25mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Fluphenazine"	"Injection"
"35122"	"Modecate 12.5mg/0.5ml solution for injection ampoules (Sanofi)"	"Fluphenazine"	"25mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Fluphenazine"	"Injection"
"35141"	"Risperidone 3mg orodispersible tablets sugar free"	"Risperidone"	"3mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"35176"	"Fluphenazine decanoate 100mg/1ml solution for injection ampoules"	"Fluphenazine"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Fluphenazine"	"Injection"
"35235"	"Piportil Depot 50mg/1ml solution for injection ampoules (Sanofi)"	"Pipotiazine"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Pipotiazine"	"Injection"
"35391"	"Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules"	"Fluphenazine"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Fluphenazine"	"Injection"
"35445"	"Modecate 50mg/2ml solution for injection ampoules (Sanofi)"	"Fluphenazine"	"25mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Fluphenazine"	"Injection"
"35455"	"Modecate Concentrate 100mg/1ml solution for injection ampoules (Sanofi)"	"Fluphenazine"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Fluphenazine"	"Injection"
"35487"	"Modecate Concentrate 50mg/0.5ml solution for injection ampoules (Sanofi)"	"Fluphenazine"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Fluphenazine"	"Injection"
"35488"	"Piportil Depot 100mg/2ml solution for injection ampoules (Sanofi)"	"Pipotiazine"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Pipotiazine"	"Injection"
"35530"	"Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules"	"Fluphenazine"	"25mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Fluphenazine"	"Injection"
"35548"	"Risperdal Quicklet 3mg orodispersible tablets (Janssen-Cilag Ltd)"	"Risperidone"	"3mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"35589"	"Risperidone 4mg orodispersible tablets sugar free"	"Risperidone"	"4mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"35684"	"Pipotiazine 50mg/1ml solution for injection ampoules"	"Pipotiazine"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Pipotiazine"	"Injection"
"35723"	"Fluphenazine decanoate 50mg/2ml solution for injection ampoules"	"Fluphenazine"	"25mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Fluphenazine"	"Injection"
"35787"	"Thioridazine 50mg Tablet (IVAX Pharmaceuticals UK Ltd)"	"Thioridazine"	"50mg"	"Tablet"	"Oral"	"04020100"	"Thioridazine"	"Oral"
"35929"	"Chlorpromazine 50mg/2ml solution for injection ampoules"	"Chlorpromazine"	"25mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101"	"Chlorpromazine"	"Injection"
"35953"	"Risperdal Quicklet 4mg orodispersible tablets (Janssen-Cilag Ltd)"	"Risperidone"	"4mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Risperidone"	"Oral"
"36101"	"Clopixol Acuphase 50mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Zuclopenthixol"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101"	"Zuclopenthixol"	"Injection"
"36116"	"Paliperidone 6mg modified-release tablets"	"Paliperidone"	"6mg"	"Modified-release tablet"	"Oral"	"04020102"	"Paliperidone"	"Oral"
"36163"	"Zyprexa 20mg tablets (Eli Lilly and Company Ltd)"	"Olanzapine"	"20mg"	"Tablet"	"Oral"	"04020102/04020300"	"Olanzapine"	"Oral"
"36394"	"Pipotiazine 100mg/2ml solution for injection ampoules"	"Pipotiazine"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Pipotiazine"	"Injection"
"36771"	"Haloperidol 250micrograms/5ml oral suspension"	"Haloperidol"	"50microgram/1ml"	"Oral suspension"	"Oral"	"04020101"	"Haloperidol"	"Oral"
"36954"	"Invega 6mg modified-release tablets (Janssen-Cilag Ltd)"	"Paliperidone"	"6mg"	"Modified-release tablet"	"Oral"	"04020102"	"Paliperidone"	"Oral"
"37501"	"Paliperidone 9mg modified-release tablets"	"Paliperidone"	"9mg"	"Modified-release tablet"	"Oral"	"04020102"	"Paliperidone"	"Oral"
"37606"	"Abilify 10mg orodispersible tablets (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Aripiprazole"	"10mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Aripiprazole"	"Oral"
"37705"	"Chlorpromazine 100mg/5ml suspension"	"Chlorpromazine"	"100mg/5ml"	"Suspension"	"Oral"	"04020100/40120000"	"Chlorpromazine"	"Oral"
"37717"	"Paliperidone 3mg modified-release tablets"	"Paliperidone"	"3mg"	"Modified-release tablet"	"Oral"	"04020102"	"Paliperidone"	"Oral"
"37871"	"Chlorpromazine 25mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd)"	"Chlorpromazine"	"5mg/1ml"	"Oral solution"	"Oral"	"04020100/40120000"	"Chlorpromazine"	"Oral"
"38010"	"Abilify 15mg orodispersible tablets (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Aripiprazole"	"15mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Aripiprazole"	"Oral"
"38080"	"Abilify 1mg/ml oral solution (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Aripiprazole"	"1mg/1ml"	"Oral solution"	"Oral"	"04020102"	"Aripiprazole"	"Oral"
"38089"	"Promazine 50mg/5ml syrup (Rosemont Pharmaceuticals Ltd)"	"Promazine"	"10mg/1ml"	"Oral solution"	"Oral"	"04020101"	"Promazine"	"Oral"
"38262"	"Haloperidol 5mg/1ml solution for injection ampoules"	"Haloperidol"	"5mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"04020101"	"Haloperidol"	"Injection"
"38375"	"Aripiprazole 9.75mg/1.3ml solution for injection vials"	"Aripiprazole"	"7.5mg/1ml"	"Solution for injection"	"Intramuscular"	"04020102"	"Aripiprazole"	"Injection"
"38540"	"Haldol 5mg/1ml solution for injection ampoules (Janssen-Cilag Ltd)"	"Haloperidol"	"5mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"04020101"	"Haloperidol"	"Injection"
"38840"	"Quetiapine 400mg modified-release tablets"	"Quetiapine"	"400mg"	"Modified-release tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"38885"	"Quetiapine 50mg modified-release tablets"	"Quetiapine"	"50mg"	"Modified-release tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"38906"	"Quetiapine 300mg modified-release tablets"	"Quetiapine"	"300mg"	"Modified-release tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"38912"	"Quetiapine 200mg modified-release tablets"	"Quetiapine"	"200mg"	"Modified-release tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"38913"	"Seroquel XL 50mg tablets (AstraZeneca UK Ltd)"	"Quetiapine"	"50mg"	"Modified-release tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"38914"	"Seroquel XL 200mg tablets (AstraZeneca UK Ltd)"	"Quetiapine"	"200mg"	"Modified-release tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"38937"	"Seroquel XL 300mg tablets (AstraZeneca UK Ltd)"	"Quetiapine"	"300mg"	"Modified-release tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"39237"	"Seroquel XL 400mg tablets (AstraZeneca UK Ltd)"	"Quetiapine"	"400mg"	"Modified-release tablet"	"Oral"	"04020102"	"Quetiapine"	"Oral"
"39830"	"Neulactil 2.5mg tablets (Sanofi)"	"Pericyazine"	"2.5mg"	"Tablet"	"Oral"	"04020101"	"Pericyazine"	"Oral"
