"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"Antidepressant"
"36121"	"Nephramine Solution for injection (Fresenius Kabi Ltd)"	"Tryptophan"	NA	"Solution For Injection"	"Intravenous Infusion Peripherally"	"09030000"	"Tryptophan"
"36746"	"Citalopram 40mg tablets (A A H Pharmaceuticals Ltd)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"36893"	"Fluoxetine 20mg/5ml oral solution sugar free"	"Fluoxetine"	"4mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"37256"	"Prozep 20mg/5ml oral solution (Chemidex Pharma Ltd)"	"Fluoxetine"	"4mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"38274"	"Clomipramine 50mg/5ml oral suspension"	"Clomipramine"	"10mg/1ml"	"Oral suspension"	"Oral"	"04030100"	"Clomipramine"
"38827"	"Triptafen-M tablets (Mercury Pharma Group Ltd)"	"Amitriptyline"	"10mg + 2mg"	"Tablet"	"Oral"	"00000000"	"Amitriptyline"
"38890"	"Fluoxetine 20mg Capsule (Milpharm Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"39145"	"Nortriptyline 10mg/5ml Liquid"	"Nortriptyline"	"10mg/5ml"	"Liquid"	"Oral"	"04030100/04070300"	"Nortriptyline"
"39359"	"Venlafaxine 75mg modified-release tablets"	"Venlafaxine"	"75mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"39360"	"Venlafaxine 150mg modified-release tablets"	"Venlafaxine"	"150mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"39770"	"Tifaxin XL 75mg capsules (Genus Pharmaceuticals Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"39809"	"Tifaxin XL 150mg capsules (Genus Pharmaceuticals Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"40048"	"ViePax XL 75mg tablets (Dexcel-Pharma Ltd)"	"Venlafaxine"	"75mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"40049"	"ViePax XL 150mg tablets (Dexcel-Pharma Ltd)"	"Venlafaxine"	"150mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"40054"	"Venlafaxine 225mg modified-release tablets"	"Venlafaxine"	"225mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"40059"	"Venlalic XL 75mg tablets (Ethypharm UK Ltd)"	"Venlafaxine"	"75mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"40062"	"Venlalic XL 150mg tablets (Ethypharm UK Ltd)"	"Venlafaxine"	"150mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"40092"	"Vensir XL 150mg capsules (Morningside Healthcare Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"40160"	"Mirtazapine 30mg tablets (Actavis UK Ltd)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"40165"	"Paroxetine 30mg tablets (Actavis UK Ltd)"	"Paroxetine"	"30mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"40277"	"Vensir XL 75mg capsules (Morningside Healthcare Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"40295"	"Valdoxan 25mg tablets (Servier Laboratories Ltd)"	"Agomelatine"	"25mg"	"Tablet"	"Oral"	"04030400"	"Agomelatine"
"40396"	"Amitriptyline 50mg Tablet (Berk Pharmaceuticals Ltd)"	"Amitriptyline"	"50mg"	"Tablet"	"Oral"	"04030100/04070300"	"Amitriptyline"
"40407"	"Venlalic XL 225mg tablets (Ethypharm UK Ltd)"	"Venlafaxine"	"225mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"40494"	"Agomelatine 25mg tablets"	"Agomelatine"	"25mg"	"Tablet"	"Oral"	"04030400"	"Agomelatine"
"40514"	"Venaxx XL 150mg capsules (AMCo)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"40515"	"Venaxx XL 75mg capsules (AMCo)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"40517"	"Vexarin XL 150mg capsules (Mylan)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"40726"	"Escitalopram 20mg/ml oral drops sugar free"	"Escitalopram"	"20mg/1ml"	"Oral drops"	"Oral"	"04030300"	"Escitalopram"
"40764"	"ViePax 37.5mg tablets (Dexcel-Pharma Ltd)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"40777"	"Doxepin 25mg/5ml oral suspension"	"Doxepin"	"25mg/5ml"	"Oral Suspension"	"Oral"	"04030100"	"Doxepin"
"40815"	"Tardcaps XL 75mg capsules (IXL Pharma Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"40817"	"Tardcaps XL 150mg capsules (IXL Pharma Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"40892"	"Paroxetine 20mg tablets (Genus Pharmaceuticals Ltd)"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"40917"	"ViePax 75mg tablets (Dexcel-Pharma Ltd)"	"Venlafaxine"	"75mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"41033"	"Rodomel XL 75mg capsules (Teva UK Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"41062"	"Cipralex 20mg/ml oral drops (Lundbeck Ltd)"	"Escitalopram"	"20mg/1ml"	"Oral drops"	"Oral"	"04030300"	"Escitalopram"
"41299"	"Politid XL 75mg capsules (Actavis UK Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"41314"	"Rodomel XL 150mg capsules (Teva UK Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"41408"	"Imipramine 25mg tablets (Teva UK Ltd)"	"Imipramine"	"25mg"	"Tablet"	"Oral"	"04030100/07040251"	"Imipramine"
"41528"	"Citalopram 10mg tablets (Teva UK Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"41563"	"Clomipramine 25mg capsules (IVAX Pharmaceuticals UK Ltd)"	"Clomipramine"	"25mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"41597"	"Clomipramine 50mg capsules (IVAX Pharmaceuticals UK Ltd)"	"Clomipramine"	"50mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"41609"	"Trazodone 50mg capsules (Teva UK Ltd)"	"Trazodone"	"50mg"	"Capsule"	"Oral"	"04030100"	"Trazodone"
"41627"	"Lofepramine 70mg Tablet (Teva UK Ltd)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"41628"	"Clomipramine 10mg capsules (IVAX Pharmaceuticals UK Ltd)"	"Clomipramine"	"10mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"41654"	"Tranylcypromine 10mg tablets (AMCo)"	"Tranylcypromine"	"10mg"	"Tablet"	"Oral"	"04030200"	"Tranylcypromine"
"41681"	"Imipramine 10mg tablets (A A H Pharmaceuticals Ltd)"	"Imipramine"	"10mg"	"Tablet"	"Oral"	"04030100/07040251"	"Imipramine"
"41709"	"Trazodone 100mg capsules (Teva UK Ltd)"	"Trazodone"	"100mg"	"Capsule"	"Oral"	"04030100"	"Trazodone"
"41710"	"Trazodone 100mg capsules (Zentiva)"	"Trazodone"	"100mg"	"Capsule"	"Oral"	"04030100"	"Trazodone"
"41729"	"Amitriptyline 25mg Tablet (Celltech Pharma Europe Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300"	"Amitriptyline"
"41731"	"Isocarboxazid 10mg Tablet (Cambridge Laboratories Ltd)"	"Isocarboxazid"	"10mg"	"Tablet"	"Oral"	"04030200"	"Isocarboxazid"
"41747"	"Moclobemide 150mg tablets (Teva UK Ltd)"	"Moclobemide"	"150mg"	"Tablet"	"Oral"	"04030201"	"Moclobemide"
"42078"	"Amitriptyline 25mg tablets (Almus Pharmaceuticals Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"42107"	"Fluoxetine 20mg capsules (Niche Generics Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"42228"	"Trimipramine 10mg tablets (A A H Pharmaceuticals Ltd)"	"Trimipramine"	"10mg"	"Tablet"	"Oral"	"04030100"	"Trimipramine"
"42247"	"Imipramine 25mg/5ml oral solution sugar free"	"Imipramine"	"5mg/1ml"	"Oral solution"	"Oral"	"04030100/07040251"	"Imipramine"
"42387"	"Sertraline 50mg tablets (Actavis UK Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"42394"	"Amitriptyline 25mg Tablet (Crosspharma Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300"	"Amitriptyline"
"42499"	"Fluoxetine 10mg tablets"	"Fluoxetine"	"10mg"	"Tablet"	"Oral"	"04030300"	"Fluoxetine"
"42600"	"Vexarin XL 75mg capsules (Mylan)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"42660"	"Citalopram 10mg tablets (Almus Pharmaceuticals Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"42734"	"Dosulepin 75mg tablets (Almus Pharmaceuticals Ltd)"	"Dosulepin"	"75mg"	"Tablet"	"Oral"	"04030100"	"Dosulepin"
"42803"	"Fluoxetine 20mg/5ml oral solution (IVAX Pharmaceuticals UK Ltd)"	"Fluoxetine"	"4mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"43024"	"Dosulepin 100mg/5ml oral solution"	"Dosulepin"	"20mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Dosulepin"
"43055"	"Glamin 22.4g/l Infusion (Fresenius Kabi Ltd)"	"Tryptophan"	"22.4g/l"	"Infusion"	"Intravenous Infusion"	"09030000"	"Tryptophan"
"43203"	"Venlafaxine 75mg modified-release capsules (Sandoz Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"43234"	"Mirtazapine 45mg orodispersible tablets (Teva UK Ltd)"	"Mirtazapine"	"45mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"43235"	"Mirtazapine 45mg orodispersible tablets (A A H Pharmaceuticals Ltd)"	"Mirtazapine"	"45mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"43236"	"Mirtazapine 45mg orodispersible tablets (Accord Healthcare Ltd)"	"Mirtazapine"	"45mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"43237"	"Mirtazapine 15mg orodispersible tablets (Teva UK Ltd)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"43239"	"Mirtazapine 15mg tablets (A A H Pharmaceuticals Ltd)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"43241"	"Mirtazapine 15mg orodispersible tablets (Aurobindo Pharma Ltd)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"43242"	"Mirtazapine 15mg tablets (Genus Pharmaceuticals Ltd)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"43246"	"Mirtazapine 15mg orodispersible tablets (Genus Pharmaceuticals Ltd)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"43247"	"Mirtazapine 45mg orodispersible tablets (Genus Pharmaceuticals Ltd)"	"Mirtazapine"	"45mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"43248"	"Mirtazapine 15mg orodispersible tablets (Focus Pharmaceuticals Ltd)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"43250"	"Mirtazapine 30mg orodispersible tablets (A A H Pharmaceuticals Ltd)"	"Mirtazapine"	"30mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"43253"	"Mirtazapine 15mg orodispersible tablets (A A H Pharmaceuticals Ltd)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"43256"	"Mirtazapine 45mg orodispersible tablets (Focus Pharmaceuticals Ltd)"	"Mirtazapine"	"45mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"43257"	"Mirtazapine 15mg tablets (Teva UK Ltd)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"43334"	"Venlafaxine 150mg modified-release capsules (Sandoz Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"43518"	"Fluvoxamine 100mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Fluvoxamine"	"100mg"	"Tablet"	"Oral"	"04030300"	"Fluvoxamine"
"43519"	"Citalopram 40mg Tablet (Neo Laboratories Ltd)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"43534"	"Lofepramine 70mg/5ml Oral suspension (Rosemont Pharmaceuticals Ltd)"	"Lofepramine"	"14mg/1ml"	"Oral suspension"	"Oral"	"04030100"	"Lofepramine"
"43561"	"Clomipramine 10mg capsules (Teva UK Ltd)"	"Clomipramine"	"10mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"43673"	"Politid XL 150mg capsules (Actavis UK Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"43968"	"Foraven XL 75mg capsules (Forum Products Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"44853"	"Dosulepin 25mg capsules (Kent Pharmaceuticals Ltd)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"44861"	"Fluvoxamine 100mg tablets (Actavis UK Ltd)"	"Fluvoxamine"	"100mg"	"Tablet"	"Oral"	"04030300"	"Fluvoxamine"
"44936"	"Venlaneo XL 150mg capsules (Kent Pharmaceuticals Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"44937"	"Venlaneo XL 75mg capsules (Kent Pharmaceuticals Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"44944"	"Sertraline 100mg tablets (Teva UK Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"45223"	"Citalopram 40mg tablets (Niche Generics Ltd)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"45224"	"Fluoxetine 20mg capsules (Sandoz Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"45226"	"Trimipramine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Trimipramine"	"25mg"	"Tablet"	"Oral"	"04030100"	"Trimipramine"
"45233"	"Amitriptyline 10mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100"	"Amitriptyline"
"45242"	"Amitriptyline 10mg Tablet (Sussex Pharmaceutical Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300"	"Amitriptyline"
"45247"	"Fluoxetine 20mg capsules (Fannin UK Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"45286"	"Citalopram 10mg tablets (Niche Generics Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"45304"	"Citalopram 40mg tablets (Teva UK Ltd)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"45316"	"Fluoxetine 20mg capsules (Wockhardt UK Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"45318"	"Clomipramine 50mg capsules (A A H Pharmaceuticals Ltd)"	"Clomipramine"	"50mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"45329"	"Fluoxetine 20mg capsules (Actavis UK Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"45350"	"Clomipramine 25mg capsules (Teva UK Ltd)"	"Clomipramine"	"25mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"45664"	"Depefex XL 150mg capsules (Chiesi Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"45737"	"Dosulepin 25mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd)"	"Dosulepin"	"25mg/5ml"	"Oral Solution"	"Oral"	"04030100"	"Dosulepin"
"45806"	"Venlafaxine 37.5mg modified-release tablets"	"Venlafaxine"	"37.5mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"45818"	"Venlalic XL 37.5mg tablets (Ethypharm UK Ltd)"	"Venlafaxine"	"37.5mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"45915"	"Sertraline 50mg tablets (Almus Pharmaceuticals Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"45959"	"Depefex XL 75mg capsules (Chiesi Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"46668"	"Mirtazapine 15mg tablets (Arrow Generics Ltd)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"46801"	"Amitriptyline 10mg/5ml oral solution"	"Amitriptyline"	"2mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"46818"	"Amitriptyline 10mg/5ml oral suspension"	"Amitriptyline"	"2mg/1ml"	"Oral suspension"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"46926"	"Citalopram 40mg tablets (Zentiva)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"46970"	"Amitriptyline 50mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Amitriptyline"	"50mg"	"Tablet"	"Oral"	"04030100"	"Amitriptyline"
"46977"	"Citalopram 40mg tablets (Actavis UK Ltd)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"47363"	"Mianserin 20mg Tablet (Berk Pharmaceuticals Ltd)"	"Mianserin"	"20mg"	"Tablet"	"Oral"	"04030100"	"Mianserin"
"47945"	"Mirtazapine 30mg tablets (A A H Pharmaceuticals Ltd)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"47966"	"Mirtazapine 15mg/ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)"	"Mirtazapine"	"15mg/1ml"	"Oral solution"	"Oral"	"04030400"	"Mirtazapine"
"48026"	"Citalopram 20mg tablets (Almus Pharmaceuticals Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"48045"	"Fluvoxamine 100mg tablets (A A H Pharmaceuticals Ltd)"	"Fluvoxamine"	"100mg"	"Tablet"	"Oral"	"04030300"	"Fluvoxamine"
"48065"	"Amitriptyline oral solution"	"Amitriptyline"	NA	"Oral Liquid"	"Oral"	"04030100/04070300"	"Amitriptyline"
"48185"	"Mirtazapine 30mg orodispersible tablets (Almus Pharmaceuticals Ltd)"	"Mirtazapine"	"30mg"	"Orodispersible tablet"	"Oral"	"00000000"	"Mirtazapine"
"48199"	"Ranfaxine XL 75mg capsules (Ranbaxy (UK) Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"48216"	"Nortriptyline 25mg tablets (A A H Pharmaceuticals Ltd)"	"Nortriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/07040251"	"Nortriptyline"
"48220"	"Prozac 20mg capsules (Lexon (UK) Ltd)"	"Fluoxetine"	"20mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"48698"	"Mirtazapine 15mg orodispersible tablets sugar free"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"49165"	"Citalopram 10mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"49511"	"Venlablue XL 75mg capsules (Creo Pharma Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"49519"	"Sertraline 100mg/5ml oral suspension"	"Sertraline"	"20mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Sertraline"
"49820"	"Mirtazapine 45mg orodispersible tablets sugar free"	"Mirtazapine"	"45mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"50081"	"Venlablue XL 150mg capsules (Creo Pharma Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"50722"	"Dosulepin 25mg/5ml oral solution"	"Dosulepin"	"5mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Dosulepin"
"50892"	"Zispin SolTab 15mg orodispersible tablets (Necessity Supplies Ltd)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"50934"	"Venlafaxine 150mg/5ml oral solution"	"Venlafaxine"	"30mg/1ml"	"Oral solution"	"Oral"	"04030400"	"Venlafaxine"
"51280"	"Efexor XL 150mg capsules (Waymade Healthcare Plc)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"51361"	"Venlafaxine 37.5mg tablets (Ranbaxy (UK) Ltd)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"51383"	"Duloxetine 60mg gastro-resistant capsules (Sigma Pharmaceuticals Plc)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"51699"	"Venlafaxine 37.5mg/5ml oral solution"	"Venlafaxine"	"7.5mg/1ml"	"Oral solution"	"Oral"	"04030400"	"Venlafaxine"
"51758"	"Prothiaden 25mg capsules (Stephar (U.K.) Ltd)"	"Dosulepin"	"25mg"	"Capsule"	"Oral"	"04030100"	"Dosulepin"
"52074"	"Alventa XL 75mg capsules (Consilient Health Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"52100"	"Citalopram 10mg tablets (Arrow Generics Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"52354"	"Citalopram 20mg tablets (DE Pharmaceuticals)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"52408"	"Citalopram 10mg tablets (Kent Pharmaceuticals Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"52516"	"Alventa XL 150mg capsules (Consilient Health Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"52607"	"Citalopram 20mg tablets (Bristol Laboratories Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"52716"	"Tonpular XL 75mg capsules (Wockhardt UK Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"52824"	"Citalopram 10mg tablets (PLIVA Pharma Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"52867"	"Amitriptyline 10mg tablets (Accord Healthcare Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"53161"	"Clomipramine 50mg/5ml oral solution"	"Clomipramine"	"10mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Clomipramine"
"53187"	"Clomipramine 50mg capsules (Kent Pharmaceuticals Ltd)"	"Clomipramine"	"50mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"53321"	"Mirtazapine 15mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Mirtazapine"	"15mg/1ml"	"Oral solution"	"Oral"	"04030400"	"Mirtazapine"
"53326"	"Venlafaxine 75mg/5ml oral solution"	"Venlafaxine"	"15mg/1ml"	"Oral solution"	"Oral"	"04030400"	"Venlafaxine"
"53394"	"Citalopram 20mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"53523"	"Primene 10% solution for infusion 100ml bottles (Baxter Healthcare Ltd)"	"Tryptophan"	"10gram/1litre + 7.6gram/1litre + 11gram/1litre + 4.2gram/1litre + 3.7gram/1litre + 2gram/1litre + 6.7gram/1litre + 8.4gram/1litre + 3.8gram/1litre + 6gram/1litre + 1.89gram/1litre + 10gram/1litre + 4gram/1litre + 3gram/1litre + 4gram/1litre + .45gram/1litre + 3.18gram/1litre + .6gram/1litre + 8gram/1litre + 2.4gram/1litre"	"Solution for infusion"	"Intravenous"	"09030000"	"Tryptophan"
"53543"	"Zispin SolTab 30mg orodispersible tablets (Necessity Supplies Ltd)"	"Mirtazapine"	"30mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"53648"	"Mirtazapine 30mg orodispersible tablets (Accord Healthcare Ltd)"	"Mirtazapine"	"30mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"53690"	"Kabiven infusion 2.566litre bags (Fresenius Kabi Ltd)"	"Tryptophan"	"4.2gram + 5.9gram + 5.9gram + 5.1gram + 3.4gram + 100gram + 250gram + 12gram + 8.5gram + 2.6gram + 4.2gram + 5.9gram + 5.1gram + 4.2gram + 8.5gram + 4.2gram + 1.4gram + .17gram + 5.5gram + .56gram + 3.8gram + 2.5gram + 4.5gram + 6.1gram"	"Infusion"	"Intravenous"	"09030000"	"Tryptophan"
"53699"	"Mirtazapine 15mg tablets (Actavis UK Ltd)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"53787"	"Citalopram 10mg tablets (Bristol Laboratories Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"53808"	"Trimipramine 10mg tablets (Phoenix Healthcare Distribution Ltd)"	"Trimipramine"	"10mg"	"Tablet"	"Oral"	"04030100"	"Trimipramine"
"54012"	"Mirtazapine 15mg orodispersible tablets sugar free (Sandoz Ltd)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"54081"	"Sertraline 25mg/5ml oral suspension"	"Sertraline"	"5mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Sertraline"
