"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"moodstabilisers"
"77514"	"Sodium valproate 500mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"78008"	"Lamotrigine 5mg dispersible tablets sugar free (Teva UK Ltd)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"78250"	"Carbamazepine 400mg tablets (Actavis UK Ltd)"	"Carbamazepine"	"400mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"78519"	"Lamictal 200mg tablets (Lexon (UK) Ltd)"	"Lamotrigine"	"200mg"	"Tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"78727"	"Sodium valproate 500mg gastro-resistant tablets (Mylan)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"79154"	"Epilim Chrono 200 tablets (Sigma Pharmaceuticals Plc)"	"Valproate"	NA	"Tablet"	"Oral"	"04080100"	"Valproate"
"79244"	"Carbamazepine 200mg tablets (Phoenix Healthcare Distribution Ltd)"	"Carbamazepine"	NA	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"79384"	"Carbamazepine 200mg Tablet (Berk Pharmaceuticals Ltd)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04020300/04080100"	"Carbamazepine"
"79486"	"Tegretol 400mg tablets (Mawdsley-Brooks & Company Ltd)"	"Carbamazepine"	NA	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"79580"	"Lamotrigine 100mg tablets (Sigma Pharmaceuticals Plc)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"80290"	"Lamictal 50mg tablets (Mawdsley-Brooks & Company Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"80329"	"Belvo 500mg gastro-resistant tablets (Consilient Health Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04020300"	"Valproate"
"80341"	"Belvo 250mg gastro-resistant tablets (Consilient Health Ltd)"	"Valproate"	"250mg"	"Gastro-resistant tablet"	"Oral"	"04020300"	"Valproate"
"80363"	"Lamotrigine 200mg tablets (Actavis UK Ltd)"	"Lamotrigine"	"200mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"80371"	"Lamotrigine 100mg tablets (Mylan)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"80450"	"Lamotrigine 25mg dispersible tablets sugar free (Mylan)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"80573"	"Lamotrigine 100mg dispersible tablets sugar free (Mylan)"	"Lamotrigine"	"100mg"	"Dispersible tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"80597"	"Syonell 250mg gastro-resistant tablets (Lupin Healthcare (UK) Ltd)"	"Valproate"	"250mg"	"Gastro-resistant tablet"	"Oral"	"04020300/04070402"	"Valproate"
"80601"	"Syonell 500mg gastro-resistant tablets (Lupin Healthcare (UK) Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04020300/04070402"	"Valproate"
"80973"	"Sodium valproate 500mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"81608"	"Sodium valproate 500mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"81616"	"Carbamazepine 200mg tablets (Teva UK Ltd)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100"	"Carbamazepine"
"81646"	"Lamotrigine 25mg tablets (Aurobindo Pharma Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"81647"	"Lamotrigine 200mg tablets (Aurobindo Pharma Ltd)"	"Lamotrigine"	"200mg"	"Tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"81880"	"Lamotrigine 50mg tablets (Aurobindo Pharma Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"82262"	"Lamotrigine 5mg dispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"82293"	"Sodium valproate 300mg modified-release tablets (Colorama Pharmaceuticals Ltd)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"82294"	"Sodium valproate 200mg modified-release tablets (DE Pharmaceuticals)"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"82295"	"Sodium valproate 200mg modified-release tablets (Ennogen Healthcare Ltd)"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"82296"	"Sodium valproate 300mg modified-release tablets (Ennogen Healthcare Ltd)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"82325"	"Lamictal 25mg tablets (Mawdsley-Brooks & Company Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"82449"	"Tegretol 100mg/5ml liquid (Necessity Supplies Ltd)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"82530"	"Tegretol Prolonged Release 400mg tablets (Dowelhurst Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"04080100"	"Carbamazepine"
"82531"	"Epilim 200mg/5ml liquid (Waymade Healthcare Plc)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"82562"	"Lamictal 200mg tablets (Waymade Healthcare Plc)"	"Lamotrigine"	"200mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"82590"	"Lamictal 25mg dispersible tablets (Waymade Healthcare Plc)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04080100"	"Lamotrigine"
"82999"	"Lamotrigine 50mg tablets (Mylan)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"83006"	"Carbamazepine oral solution"	"Carbamazepine"	NA	"Oral solution"	"Oral"	"04020300/04080100"	"Carbamazepine"
"83016"	"Carbamazepine 200mg tablets (Sigma Pharmaceuticals Plc)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100/04105000/06010500"	"Carbamazepine"
"83110"	"Lamictal 25mg tablets (Sigma Pharmaceuticals Plc)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"83362"	"Lamotrigine 25mg/5ml oral solution"	"Lamotrigine"	"5mg/1ml"	"Oral solution"	"Oral"	"04020000/04080100"	"Lamotrigine"
"83697"	"Epilim Chronosphere MR 100mg granules sachets (Waymade Healthcare Plc)"	"Valproate"	"100mg"	"Modified-release granules"	"Oral"	"04080100"	"Valproate"
"83899"	"Lamotrigine 200mg/5ml oral suspension"	"Lamotrigine"	"40mg/1ml"	"Oral suspension"	"Oral"	"04020000/04080100"	"Lamotrigine"
"83989"	"Carbamazepine 100mg tablets (Medreich Plc)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Carbamazepine"
"84099"	"Carbamazepine 200mg tablets (Medihealth (Northern) Ltd)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100"	"Carbamazepine"
"84145"	"Sodium valproate 500mg/5ml oral solution"	"Valproate"	"100mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Valproate"
"85031"	"Lamotrigine 50mg tablets (Torrent Pharma (UK) Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"85126"	"Priadel 400mg modified-release tablets (Mawdsley-Brooks & Company Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Lithium"
"85262"	"Carbamazepine 100mg tablets (Medihealth (Northern) Ltd)"	"Carbamazepine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Carbamazepine"
"85371"	"Lamotrigine 25mg tablets (Kent Pharma (UK) Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Lamotrigine"
"85887"	"Dyzantil 200mg modified-release tablets (Aspire Pharma Ltd)"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"85888"	"Dyzantil 500mg modified-release tablets (Aspire Pharma Ltd)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"04080100"	"Valproate"
"87023"	"Lamotrigine 25mg dispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"87181"	"Sodium valproate 300mg/3ml solution for injection vials"	"Valproate"	"100mg/1ml"	"Solution for injection"	"Intravenous"	"04080100"	"Valproate"
"87301"	"Curatil Prolonged Release 200mg tablets (Tillomed Laboratories Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"04080100"	"Carbamazepine"
"87681"	"Carbamazepine 200mg tablets (Medreich Plc)"	"Carbamazepine"	"200mg"	"Tablet"	"Oral"	"04080100"	"Carbamazepine"
"87770"	"Lamotrigine 100mg tablets (Milpharm Ltd)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04020000/04080100"	"Lamotrigine"
"87815"	"Sodium valproate 200mg gastro-resistant tablets (DE Pharmaceuticals)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Valproate"
"87987"	"Lamotrigine 25mg/5ml oral suspension"	"Lamotrigine"	"5mg/1ml"	"Oral suspension"	"Oral"	"04020000/04080100"	"Lamotrigine"
"88169"	"Carbamazepine 200mg tablets (Crescent Pharma Ltd)"	"Carbamazepine"	NA	"Tablet"	"Oral"	"04080100"	"Carbamazepine"
"88170"	"Carbamazepine 100mg tablets (Crescent Pharma Ltd)"	"Carbamazepine"	NA	"Tablet"	"Oral"	"04080100"	"Carbamazepine"
